,Asakura2020,Bianchi2011,Boeri2011,Chen2019,Duan2021,Fehlmann2020,Halvorsen2016,Jin2017,Keller2009,Keller2014,Keller2020,Kryczka2021,Leidinger2011,Leidinger2014,Leidinger2016,Li2017,Marzi2016,Nigita2018,Patnaik2012,Patnaik2017,Qu2017,Reis2020,Wozniak2015,Yao2019,Zaporozhchenko2018
Asakura2020,*,0.526855867374476,0.3004935887308676,0.5314227664304965,0.09833689979107106,0.013188191540158541,0.2732334564851735,0.10630752423861922,0.7216505897225961,1.8567128285598578e-07,0.011068569745153847,*,0.00016486759087620915,0.0012371038133774973,0.17037816368364464,0.03463677267455666,0.550069005986794,0.3532347643235063,0.04091393753516651,0.5938726854978138,0.18951993116144716,0.005659864642855631,0.005471759593645321,0.8446607769252512,0.9041639253566934
Bianchi2011,0.526855867374476,*,0.24164155087234498,0.9016516651793373,*,0.2637128285342815,0.3342496430225491,0.35068157936914146,0.07049918709873489,0.21719430988001467,*,*,0.10066039245211414,0.818606370322612,0.30446675252006977,*,0.029212623503016982,0.2774645460055555,0.5199719649114294,0.6667139634330298,*,0.9879374269035188,0.01971684858527389,0.2469874562961824,*
Boeri2011,0.3004935887308676,0.24164155087234498,*,0.0045877797707647465,0.8221563497116388,0.5345049643839085,0.5414696166807828,0.9589301866944142,0.0788872586039274,0.8879084523964885,0.2189539306110252,*,0.7759376843792641,0.3012951927462098,0.9927897791825846,0.0738258644608946,0.4172829405310828,0.3910446970433367,0.0034957578796624847,0.6573409894773735,0.0022642323036533053,0.605085476892424,0.6574522323858655,0.024507721704473847,0.369938187952517
Chen2019,0.5314227664304965,0.9016516651793373,0.0045877797707647465,*,0.3940451614416579,1.0206137437009939e-05,0.023804959927539688,0.37199566890542607,0.00864339921679779,0.47633867012441494,0.3121766718121361,*,0.960621798727431,0.4323206302147693,0.00039308472548462916,0.9863555707541934,0.5678968469483691,0.7946345068617434,0.011264257380345167,0.9358234363702045,0.25070295140960713,0.12178537700438034,0.20524642019554687,0.003937993522696071,0.06667788142639111
Duan2021,0.09833689979107106,*,0.8221563497116388,0.3940451614416579,*,0.9869391957184993,0.37995910533886507,0.9809728532897376,0.6337378589996084,0.04201956561575178,0.029590929597798694,*,0.6748466061156082,0.9401243458030278,0.5001931884080267,0.23163653789893227,*,0.28916174153052615,0.16877242776080506,0.4325135778014801,0.7668251252185088,0.14879154940399889,0.5627001390589202,0.18890448126205342,0.03347792223621315
Fehlmann2020,0.013188191540158541,0.2637128285342815,0.5345049643839085,1.0206137437009939e-05,0.9869391957184993,*,0.050257369466367816,0.9890352795119363,0.0001402844944765766,7.003200379497938e-10,0.8963733682833585,*,1.1515651548083636e-05,0.12804672053361385,7.474984425225317e-11,0.004237622472886135,0.21901158369264886,0.2231888604545697,1.9554061993469493e-08,0.05806207657336095,0.0010578144917107294,3.300676579620421e-07,0.006652896568789937,0.03756021510501022,0.548821063102718
Halvorsen2016,0.2732334564851735,0.3342496430225491,0.5414696166807828,0.023804959927539688,0.37995910533886507,0.050257369466367816,*,0.2729222046287254,0.2975322939790805,0.21369264100480453,0.11709759729836142,*,0.09731057636302923,0.3772248643567754,0.05584007392350252,0.8683022710536592,0.39103072448625187,0.18914960618306673,0.37640477714895654,0.502038115144818,0.06412804001385586,0.3150099282565172,0.8358915374972449,0.22743030651537216,0.9510519205515123
Jin2017,0.10630752423861922,0.35068157936914146,0.9589301866944142,0.37199566890542607,0.9809728532897376,0.9890352795119363,0.2729222046287254,*,0.3918264742135626,0.5417845804395623,0.019647352071450574,*,0.6797328808751546,0.695406956502024,0.9868060669680565,0.8548014991005132,0.49140052548440905,0.9001958086442914,0.01800023035846393,0.358331169026431,0.48523948745852263,0.11097732943021893,0.7256499557007244,0.31297783765644366,0.13644709997456808
Keller2009,0.7216505897225961,0.07049918709873489,0.0788872586039274,0.00864339921679779,0.6337378589996084,0.0001402844944765766,0.2975322939790805,0.3918264742135626,*,1.0519229735754566e-10,0.5204241673103529,*,1.3680338197059554e-09,0.4321662427864607,4.383822589099016e-10,0.30778199136512446,0.8099841122315803,0.42844903979334575,0.010029304498412942,0.016271620864485293,0.7223348218360892,0.11756995429505428,0.20726654240360476,0.8499069479146791,0.6894905478974473
Keller2014,1.8567128285598578e-07,0.21719430988001467,0.8879084523964885,0.47633867012441494,0.04201956561575178,7.003200379497938e-10,0.21369264100480453,0.5417845804395623,1.0519229735754566e-10,*,0.30365975969018316,*,3.296029871977138e-62,0.3881480393452353,2.747515965949644e-09,0.307179444475279,0.8992371772170908,0.26785181487652576,0.016038557045791837,0.029515159679137412,0.44883787740881187,0.7123977125414903,0.7480513844453345,0.0051274464673996736,0.7963186011736082
