,aucs
0,0.4542999999999999
1,0.6689549961861175
2,0.1588235294117647
3,0.491186839012926
4,0.7376037432249323
5,0.694078947368421
6,0.7342549923195084
7,0.6119524067063278
8,0.733974358974359
9,0.6527777777777778
10,0.6000000000000001
11,0.5639097744360901
12,0.41224489795918373
13,0.6274998915193969
14,0.1388888888888889
15,0.4573934837092732
16,0.7616099071207431
17,0.4661733615221988
18,0.6868686868686869
19,0.6083681626359356
20,0.37719298245614036
21,0.8214285714285714
22,0.7222222222222222
23,0.2222222222222222
24,0.8940542116001166
25,0.23666666666666664
26,0.42780000000000007
27,0.5
28,0.07755102040816328
29,0.6057692307692307
30,0.2456140350877193
31,0.45000000000000007
32,0.6944444444444445
33,0.4444444444444445
34,0.6807017543859649
35,0.28361432741439707
36,0.75
37,0.831396087398374
38,0.6858552631578947
39,0.2866666666666666
40,0.7056404230317274
41,0.5112781954887218
42,0.5436424041075204
43,0.7222222222222223
44,0.5508585592165774
45,0.5864661654135339
46,0.5
