Study,Logistic Regression,SVM,Random Forest,XGBoost
Abdollahi2019,0.6700617283950617,0.8141975308641977,0.932716049382716,0.8527777777777779
Asakura2020,0.7338569932076329,0.9125823184436641,0.9680611842166549,0.9391684388559985
Bianchi2011,0.794679005205321,0.8524002313475998,0.8227877385772121,0.8432041642567958
Boeri2011,0.7833333333333333,0.95,0.95,0.575
Chen2019,0.8816666666666666,0.7866666666666667,0.7933333333333333,0.6233333333333333
Duan2021,0.9,0.9,0.9,0.8
Fehlmann2020,0.9766121366112814,0.9795364593628746,0.960231589859653,0.9804175985749854
Halvorsen2016,0.9845238095238095,0.9928571428571429,0.9833333333333334,0.9333333333333332
Jin2017,1.0,1.0,1.0,0.9800000000000001
Keller2009,0.95,0.9,0.93125,0.8
Keller2014,0.8473071567808409,0.8882261208576997,0.8636675020885548,0.8151434140907826
Keller2020,0.9555555555555555,0.9444444444444444,0.925,0.9666666666666666
Kryczka2021,0.7490476190476191,0.6583333333333333,0.645952380952381,0.6061904761904762
Leidinger2011,0.16166666666666668,0.7516666666666667,0.7052777777777777,0.41111111111111115
Leidinger2014,0.15997023809523808,0.28561507936507935,0.36458333333333337,0.5278769841269841
Leidinger2016,0.9161904761904761,0.902910052910053,0.9480952380952381,0.935925925925926
Li2017,0.3333333333333333,0.16666666666666666,0.8333333333333334,0.5
Marzi2016,0.9764030180600161,0.9689123703626967,0.9499115416047976,0.9679820896209584
Nigita2018,0.7,0.3,0.18333333333333332,0.2333333333333333
Patnaik2012,0.6984126984126984,0.8825396825396826,0.7769841269841271,0.7634920634920637
Patnaik2017,0.573082788671024,0.4807461873638344,0.4764814814814814,0.5426742919389979
Qu2017,1.0,1.0,1.0,0.47916666666666663
Reis2020,1.0,1.0,0.9571428571428571,0.9428571428571428
Wozniak2015,0.49399999999999994,0.565,0.663,0.6890000000000001
Yao2019,0.8,0.6,1.0,0.4
Zaporozhchenko2018,0.2416666666666667,0.7999999999999999,0.8416666666666668,0.6416666666666666
