Study,AUC
Abdollahi2019,0.6165494862087615
Asakura2020,0.4655518378959689
Bianchi2011,0.687719298245614
Boeri2011,0.40350877192982454
Chen2019,0.3861111111111112
Duan2021,0.08333333333333333
Fehlmann2020,0.5882696261429421
Halvorsen2016,0.7828947368421053
Jin2017,0.33974358974358976
Keller2009,0.631578947368421
Keller2014,0.8363450888953659
Keller2020,0.2577777777777778
Kryczka2021,0.34639016897081415
Leidinger2011,0.8646616541353384
Leidinger2014,0.5664160401002506
Leidinger2016,0.7940658049353702
Li2017,0.3888888888888889
Marzi2016,0.629319105691057
Nigita2018,0.4285714285714286
Patnaik2012,0.5757575757575758
Patnaik2017,0.5146481425551193
Qu2017,0.8333333333333333
Reis2020,0.4408163265306122
Wozniak2015,0.43950000000000006
Yao2019,0.32
Zaporozhchenko2018,0.24117647058823527
