,data internal,seq internal,from seq,to seq
Wozniak2015,0.621,0.5298295819677399,0.5517,0.6130208333333333
Bianchi2011,0.7158473105841526,0.5115308704453441,0.4460717009916094,0.5697916666666666
Zaporozhchenko2018,0.5416666666666666,0.6246050221708117,0.44705882352941173,0.6171874999999999
Leidinger2016,0.803015873015873,0.6199282661782662,0.40423031727379555,0.3528645833333333
Reis2020,0.5857142857142856,0.5160868517447464,0.5142857142857142,0.5954427083333333
Asakura2020,0.9314562246461595,0.5106797843968898,0.4028852322129926,0.45312500000000006
Duan2021,0.25,0.5349248521945891,0.5,0.58359375
Leidinger2014,0.5590773809523809,0.5106797843968898,0.5401002506265664,0.5984375
Keller2009,0.8,0.4828511583445794,0.7585139318885449,0.5309895833333335
Patnaik2017,0.5219771241830066,0.5106797843968898,0.3728480821504077,0.32135416666666666
Patnaik2012,0.3603174603174603,0.4830157123578176,0.4848484848484848,0.4421875
Fehlmann2020,0.9607039340553477,0.5042133378317588,0.3674133492187393,0.5078125000000001
Marzi2016,0.8283004707805288,0.5301947577276525,0.49328844850948506,0.4247395833333333
Halvorsen2016,0.9142857142857144,0.6326896166698799,0.5592105263157894,0.4809895833333334
Boeri2011,0.6833333333333333,0.6244440829638199,0.4298245614035088,0.41666666666666674
Leidinger2011,0.5405555555555556,0.4937063010089326,0.5864661654135338,0.5341145833333333
Qu2017,0.5833333333333333,0.5383577935222672,0.5277777777777778,0.5975260416666667
Li2017,0.5,0.5574082240858557,0.6111111111111112,0.3666666666666667
Keller2014,0.563681425786689,0.5004238159501317,0.5588749635674731,0.5523437499999999
Keller2020,0.6003267973856209,0.3913165525994474,0.5806818181818182,0.5598958333333333
Kryczka2021,0.5641666666666666,0.5902779585180901,0.48771121351766517,0.6407552083333333
Abdollahi2019,0.714969135802469,0.4414580521817364,0.4434829637641969,0.6059895833333333
Mean,0.6428967587756929,0.5290591891660972,0.5031084289358465,0.5166133996212122
