Study,1,2,3,4,5,6,7,8,9,10
Asakura2020,0.5056390977443609,0.4994,0.4682037488550898,0.5476190476190477,0.5964733313902651,0.5392538528205543,0.5402777777777777,0.5114768951978255,0.493734335839599,0.4793233082706767
Boeri2011,0.4930534581697372,0.4527777777777778,0.5081546360616128,0.39504681365146477,0.5073857699249549,0.5526315789473685,0.5027777777777778,0.47449914212366323,0.5112781954887218,0.5680555555555555
Chen2019,0.49531863485351857,0.4560555723346421,0.4779670975323149,0.4274383078730905,0.5338643304164441,0.4981203007518797,0.40384615384615385,0.5112781954887218,0.4823232323232324,0.4833
Fehlmann2020,0.4887218045112782,0.4210526315789474,0.46240601503759404,0.4571428571428572,0.4191729323308271,0.5295,0.47368421052631576,0.5244360902255639,0.5407268170426065,0.4777777777777778
Halvorsen2016,0.44891640866873067,0.4530075187969925,0.5467,0.5411184210526315,0.5056390977443609,0.4887218045112782,0.5350877192982456,0.5456055572334642,0.5628363666242142,0.4491774383078731
Jin2017,0.543859649122807,0.5357142857142858,0.5183673469387755,0.5031712473572938,0.38760561740821387,0.5213032581453634,0.5024671052631579,0.4907,0.5278799145474713,0.4285714285714286
Keller2009,0.4984,0.5315614617940199,0.4935897435897436,0.5357142857142857,0.481425551192993,0.48000000000000004,0.4586466165413534,0.4613003095975232,0.45864661654135336,0.45707070707070707
Keller2014,0.49984898822108126,0.5394736842105262,0.5108728480821505,0.483974358974359,0.481425551192993,0.4922600619195046,0.47368421052631576,0.5349889760760309,0.48,0.5
Leidinger2011,0.4975225881667153,0.5238095238095237,0.5732323232323233,0.5036242826940501,0.4647435897435897,0.5557427112005806,0.5344611528822055,0.48989898989898994,0.5691633947447902,0.49812030075187974
Leidinger2014,0.5418999999999999,0.5073746286738275,0.5428571428571428,0.4642,0.5037593984962406,0.4642857142857143,0.5582706766917294,0.563265306122449,0.5175438596491229,0.44611528822055135
Leidinger2016,0.49260042283298094,0.5656565656565657,0.5077399380804953,0.4949494949494949,0.4653061224489796,0.5047003525264395,0.5220052462838822,0.48989898989898994,0.5123829658713379,0.5551192993053459
Nigita2018,0.5244360902255639,0.5157052250075507,0.5448717948717949,0.5106907894736843,0.4661654135338346,0.52,0.47243107769423565,0.49248120300751885,0.4629934210526315,0.46640000000000004
Patnaik2012,0.4653061224489796,0.5037593984962406,0.4736111111111111,0.4868421052631579,0.5488721804511278,0.5081453634085213,0.5150375939849624,0.6766917293233083,0.5277861673210511,0.5350877192982456
Patnaik2017,0.4775510204081633,0.48273026315789475,0.5224358974358974,0.5291243854675924,0.5,0.5300751879699248,0.4986111111111111,0.5277999999999999,0.52,0.5603715170278638
Reis2020,0.543233082706767,0.5194444444444445,0.5240108728480821,0.5146481425551194,0.5300204022150976,0.6027777777777779,0.47222222222222227,0.553030303030303,0.5356037151702786,0.4680451127819549
Wozniak2015,0.5281954887218046,0.4909539473684211,0.5206766917293233,0.4816326530612245,0.5202,0.4871794871794872,0.4458333333333333,0.48333333333333334,0.4888366627497063,0.453437615545787
Yao2019,0.4699248120300752,0.5024671052631579,0.5252525252525252,0.5252643948296122,0.5111111111111111,0.5063424947145877,0.5545112781954887,0.4473684210526316,0.563467492260062,0.4993734335839599
