,PCA1,PCA2,Type
0,-4.397027512139763,-6.453292607574767,A
1,-6.3729427777269825,-7.437171771385665,A
2,-3.479713210773713,-0.31983487902609153,A
3,-12.018568330664696,-0.059454579631535526,A
4,-14.55450280684071,-4.651192130172589,A
5,-12.09513669272309,-10.23864802009677,A
6,-30.117335189032133,-4.405245627350793,A
7,-24.96221670963125,-4.387679159651188,A
8,-18.171636071320957,-8.014093341407458,A
9,-6.2414850056520095,-2.5185018348478785,A
10,-2.212070583570689,-6.533141900888432,A
11,1.3444668739238108,-10.125728946621287,A
12,-17.651848899847288,-4.428521479622318,A
13,-8.610312551278128,-3.3276000316534313,A
14,-14.32016485907809,-2.5963399369376425,A
15,-5.330159864143354,3.9686308274391955,A
16,-4.342918705840354,-9.793089422421112,A
17,-16.85114685946689,-2.8302488398852033,A
18,-8.3050674921376,-8.541834467375034,A
19,0.24746085059678957,-2.2836111390236864,A
20,-13.3859857900922,-1.0165400868093286,A
21,-15.496309147370361,-0.8306673741080381,A
22,0.9858123898930654,-3.748178962653642,A
23,-10.290537140557761,-3.192544452595203,A
24,-10.781701519277274,-4.270767917066259,A
25,-20.67476679552651,-4.765902357506076,A
26,-18.65242980556933,-1.331308237949501,A
27,-9.438265748289032,-16.589946443713572,A
28,6.262935194672245,-1.1112138634235194,A
29,-8.451337274240053,-8.16097945837124,A
30,-0.5254810695097836,-3.9278100595331575,A
31,-6.808970791857198,-0.8519598102174497,A
32,-9.976054996047443,-0.4053849165338477,A
33,-18.07382628574419,0.41728002737537656,A
34,-12.936199109820429,-1.1598867933921702,A
35,-6.042466899318427,-0.13727440855419604,A
36,-8.042028987016275,-0.8786684067509453,A
37,-9.624520537387282,-4.505552560271142,A
38,-12.06151704361699,-2.4788918560574054,A
39,-21.384916301536165,-2.9349738261418556,A
40,-16.247531664261142,-0.983233835052584,A
41,-5.304251566400896,1.372305031800836,A
42,-11.973568150056533,-3.028375535520616,A
43,-2.956777509207459,-0.2831755822924187,A
44,-17.9716605899272,3.6054412968308096,A
45,-20.251353050774828,1.6422170743252353,A
46,-9.56496317323054,0.4356623696740419,A
47,-10.984774461001184,-2.6048994670225274,A
48,-26.88402047138864,-7.037041064974372,A
49,-20.299953999168856,0.7348858343338707,A
50,-12.496294878635789,-5.1896424098370435,A
51,-20.927967543068707,1.711588061530133,A
52,-15.692269187448261,-9.201991177238819,A
53,6.054363187417936,2.4647791320584136,A
54,-16.55772413889757,0.9679118062289815,A
55,-11.688729617516397,-3.7641159947237566,A
56,-16.543528519478578,-4.499768329593308,A
57,-13.871519809374103,-2.283724911182681,A
58,-9.422626314410719,-3.6870852947466126,A
59,-13.562599506230033,-3.5592735396272275,A
60,-2.636072181161546,-7.5178597428707,A
61,-4.877346714896845,-8.03367719202126,A
62,-0.19244675739087708,3.8371702559674405,A
63,-8.751618837657876,-2.355752760763936,A
64,-10.656369255645266,-2.4575020075898526,A
65,-5.2239527301107875,-0.7456441457401342,A
66,-10.097265060562496,-3.4858170494171397,A
67,-1.768911134384589,-2.594851771009602,A
68,-15.865709706520224,-1.8124757323009808,A
69,-4.507715218306873,-4.430063747311327,A
70,-7.158065281434972,4.108813541239842,A
71,-5.467532145345026,2.6243406038486885,A
72,1.2013009769934109,-0.8038978108468913,A
73,-11.098048445311695,2.0210269104985734,A
74,-14.508322927536446,-6.929963510671272,A
75,-12.065674147887425,-1.685257453168023,A
76,-2.5399135233184356,-3.0479363656428564,A
77,-14.187698093263291,0.43266706432619706,A
78,-22.06181032130171,0.5681325763193235,A
79,-20.176787590058645,-1.5437178970566376,A
80,-5.258986679269835,0.4562078311956582,A
81,-6.192473243717053,2.4823785069444,A
82,-4.191259749733635,-2.3950212149356562,A
83,-23.45018535969919,-2.207902860658848,A
84,-22.94106208186725,-2.899573483574655,A
85,-8.923111860554908,-2.5298849929192393,A
86,-19.633755169685433,0.8802201518697198,A
87,1.7758717032950604,-6.0139439245167905,A
88,-10.343778786342913,0.4022053867836145,A
89,-11.858555055560604,0.30056796827585575,A
90,-15.584060982153982,3.9334459604367766,A
91,5.287756989687973,-0.8617416343115806,A
92,-10.551505225042401,-3.9834878694764813,A
93,0.07000009879582686,-5.261902432932591,A
94,-2.810440374196072,1.6564136083455567,A
95,-5.741031389266971,0.6567098689987905,A
96,-8.916413725663146,-3.133123667955524,A
97,-13.341097351035593,-6.695396376921041,A
98,-3.947909913020646,-0.31761419314230177,A
99,-6.085325419300801,-2.4721590468819707,A
100,-6.445271888420169,-0.05216598818727686,A
101,2.500286245234567,-5.434326314666782,A
102,-1.4638006828503445,-2.8477257061649897,A
103,-5.188733117144302,-0.9514055169812339,A
104,1.9290281915771588,1.8382510860250334,A
105,-1.1873713880195558,-0.3321310779390931,A
106,-0.4739632577937627,-0.7570801481482232,A
107,-3.68299777521527,-2.2892366772328017,A
108,-15.568165152500118,-0.36820320338206747,A
109,-4.5773639232735945,1.1564009172491794,A
110,-14.579199531947072,-7.984276913936549,A
111,-13.763505491420315,-3.034519543960001,A
112,-19.451918867024325,-2.0374435755550686,A
113,-18.671372666442064,-1.7079115009728054,A
114,-11.41630453227583,-1.141250942625972,A
115,0.7038759274198814,3.0493465694662696,A
116,-5.623510155768594,-2.2134685681887603,A
117,-16.959761371339773,-2.88336631998754,A
118,0.7640997493273424,2.484628339796634,A
119,-10.784479466689106,1.340263624381581,A
120,-10.260349001423794,-1.4782622063909372,A
121,-0.9790971274313529,-1.8691180018619507,A
122,-16.749768868481222,-2.8249271880214954,A
123,-9.48456657158402,-3.1596119743910656,A
124,-0.03568085456037917,0.4010443867329233,A
125,-15.29047256777281,-2.040365008041125,A
126,-14.872636341314777,-0.3547024117029137,A
127,-22.205583922444212,3.034826066692436,A
128,9.006186970014795,0.23008483181187953,A
129,-8.511983226741076,2.956466982364877,A
130,-4.93109928202369,-3.7003475682738767,A
131,-3.4295235573851057,1.1257038667023866,A
132,-11.49031388668616,1.2500075967111208,A
133,-16.116179338625198,1.633893804766477,A
134,-11.94512034580318,-2.462473636496437,A
135,-8.448997242283934,-3.269657646661807,A
136,-9.464707209893561,-2.9070643070552395,A
137,-3.657301371758861,-0.08405257424877488,A
138,-11.749791645624999,2.6080543331611294,A
139,-12.553190149602521,0.376501925209344,A
140,-14.17971156226125,2.2613125802191636,A
141,-5.540988448757008,-3.0197338593140612,A
142,-6.456791181710671,0.7849513508317918,A
143,-13.08011280394068,0.443644159298273,A
144,-14.296088469534844,-1.2970369722483541,A
145,-13.337867755138037,-2.181803491596197,A
146,-10.471050505678347,1.0856730451219385,A
147,-14.149580969150843,1.708705946384962,A
148,-2.406176193571467,-2.2758116651186047,A
149,-23.067006374028097,5.04223964761898,A
150,-18.595697828087868,3.426379705186013,A
151,-14.843088087278275,-0.14607830545060435,A
152,-6.671660147450023,0.048072196250196736,A
153,-14.157247537383459,4.123251502889948,A
154,-22.368728417469843,-1.573094899886415,A
155,-14.856785636899941,-0.1791256220024246,A
156,-18.161907467917896,1.6693103492598786,A
157,-18.815549850679567,-5.811125523970163,A
158,-15.154339836870925,2.0036255095595967,A
159,-19.223143031614654,0.14377819061197805,A
160,-1.7000755389909101,2.63977099829659,A
161,-16.062335720229253,3.1379463221637667,A
162,-9.2717988435613,-2.569073672870764,A
163,-0.4829933649996314,5.3265791063353465,A
164,-12.95316114156438,-2.7440944995426344,A
165,-20.98938125392032,-0.20227771251768556,A
166,-13.890337387304143,-0.2627862415915429,A
167,-2.565460950924543,-1.6310750033883734,A
168,-1.9112207986320278,-7.296415940813267,A
169,-10.330566400216416,2.039812806482743,A
170,0.9057810875869503,-4.333032199214878,A
171,-6.219975596483277,1.9267136400019702,A
172,-4.159563077443867,-5.163063733282497,A
173,-14.39923407005373,-2.875413929251791,A
174,-12.016220082771024,-1.0959690534316138,A
175,-10.832483302526965,1.6530848506879015,A
176,-4.85378140165653,2.301368434294811,A
177,-16.023354092641366,-1.4015917887485885,A
178,-27.661880565496567,1.4186156304810633,A
179,-19.3290091755778,2.648244381329494,A
180,-7.296117280474263,-7.165135704964115,A
181,-10.840199454887909,0.6230574879871124,A
182,-13.818931280621994,-0.4490520046975159,A
183,-13.814593242986708,-8.971808880262774,A
184,-16.26831646442518,1.618385336280889,A
185,-6.793648106125005,-2.3055096553515027,A
186,-6.304854507302469,0.748870710418053,A
187,-4.021986815652025,2.151856186986152,A
188,-5.6573987203801765,-4.455052662683137,A
189,-23.759515601813575,-3.91321851943433,A
190,-3.3763331941073353,-0.2954864714589903,A
191,1.6489450156094914,0.056585102165977175,A
192,13.03038223696473,2.045243976088121,A
193,-4.330134652814842,1.483839340157536,A
194,-6.799934708888495,1.2779236196100998,A
195,-17.115024590089867,0.687171770770655,A
196,-17.65606957827847,1.0589292358593363,A
197,-9.761887060848476,-1.1087511709106463,A
198,4.843502681402509,3.1398816260971345,A
199,1.2269506334561031,0.7023583964210459,A
200,-5.190214167783264,-3.6968191516514355,A
201,-12.078141371157368,-1.402644068753224,A
202,-10.150928408394922,1.35602461250486,A
203,0.7084100153935243,2.8544267529835707,A
204,-18.543753234841468,2.6544451742527815,A
205,-6.713751060424477,5.615687810317011,A
206,5.87113044233547,-1.4587307657235247,A
207,-11.450242621878827,-3.786808851385781,A
208,2.4084548433693476,3.3037098632013873,A
209,3.6976747956946756,0.05775652698972683,A
210,-5.79322543177724,-0.3616974977288642,A
211,-9.292901293705865,3.6414421639396433,A
212,-8.466004282743876,0.6460424352267697,A
213,-0.9701423127981776,-0.406519846511692,A
214,-0.4790079756861174,-0.6350480378248704,A
215,-6.33731020758092,1.1529974739223583,A
216,-9.402705739710253,-1.4125585169747914,A
217,-1.3863135364503347,4.364501268422737,A
218,1.8709827638831367,-3.7048181471683193,A
219,2.1634526193617276,-0.5726162953403829,A
220,0.6036468851289498,-2.170025350300049,A
221,-12.109797148599986,2.6740065766875483,A
222,-2.0463059350500696,2.836600474900956,A
223,10.324453832043782,0.3290519359186661,A
224,-1.9924476177766173,-0.47503451818427866,A
225,6.765217771603389,0.04577311763917938,A
226,8.25510064422609,-2.5034274300921955,A
227,-6.144017520849129,0.8956327337541842,A
228,-4.224708692636852,8.806031584807526,A
229,-10.007313303216772,1.206053859192192,A
230,-20.712547443860057,2.214652306363484,A
231,-14.309800404221797,-1.832759868872373,A
232,7.140109041947927,-6.789508606192795,A
233,21.745539867305148,5.141182540408117,A
234,4.230454940136766,-4.491193942334691,A
235,2.12323922642169,0.0491683875929749,A
236,-3.768711044876838,-2.0181824322586897,A
237,-0.7022488602788457,0.6845439320984372,A
238,-3.3923803452358716,1.7641702168459161,A
239,-0.07149366646632,4.045586976289279,A
240,-8.09666107976674,1.4213317137731645,A
241,10.293003674589492,1.07655224415009,A
242,4.3059521288940585,-1.391032107237466,A
243,3.190945787532214,2.0554806145362248,A
244,0.06308310386357974,5.912466980689065,A
245,-5.731597164424643,1.4467160417003724,A
246,-13.052427905369823,2.303625845925976,A
247,-5.077171138685674,7.036387425379983,A
248,1.8058811220552893,-5.236545561278574,A
249,-0.5372108586097212,2.29596436853574,A
