study,hsa-miR-486-5p,hsa-miR-451a
Asakura2020,0.9642665836244297,2.9979347328654313
Boeri2011,0.9886644434278397,0.7299493568694584
Chen2019,0.8192295376390635,1.0474219644717377
Duan2021,0.8944630955424333,2.485509260388939
Fehlmann2020,0.8507774712862719,0.954786370845489
Halvorsen2016,0.29886299163037006,
Jin2017,1.1501268311068658,1.617497334781049
Keller2009,0.6085571598777284,1.1573513260486645
Keller2014,0.5947102084782604,1.4607297724758586
Keller2020,0.9836186378901698,2.6009688589368727
Leidinger2011,0.6728645373646607,1.294062575417421
Leidinger2014,6.141078172453441,5.183379066058891
Leidinger2016,,0.5002311331342288
Li2017,,2.8661134924413876
Nigita2018,,1.0267370263228015
Patnaik2012,1.6069453330288792,3.424992516276083
Patnaik2017,1.2803551267227857,3.5069434081924804
Qu2017,1.176881834360956,3.8487125718205037
Reis2020,,3.3567817655393175
Wozniak2015,0.6249230503103149,0.4630543375060178
Zaporozhchenko2018,0.22370790978298158,0.6344567576494039
