study,hsa-miR-21,hsa-miR-210,hsa-miR-182,hsa-miR-155,hsa-miR-17
Abdollahi2019,0.345,,,,
Asakura2020,0.630,0.742,0.601,0.660,0.690
Bianchi2011,,,,,0.256
Boeri2011,0.579,,,0.579,0.588
Chen2019,0.506,,0.608,,0.443
Duan2021,0.083,0.389,0.083,0.111,0.417
Fehlmann2020,0.359,0.488,0.400,0.472,0.343
Halvorsen2016,0.332,0.891,,0.641,0.112
Jin2017,0.417,,0.554,0.141,0.399
Keller2009,0.418,0.814,0.672,,0.296
Keller2014,0.509,0.554,0.499,,0.167
Keller2020,0.461,,,,
Kryczka2021,,,,,
Leidinger2011,0.564,0.481,0.598,,0.323
Leidinger2014,0.548,0.501,0.518,0.479,0.541
Leidinger2016,0.218,,0.334,,0.253
Li2017,,0.444,,,0.333
Marzi2016,,,,,
Nigita2018,0.425,0.421,,,0.421
Patnaik2012,0.217,0.260,,,0.230
Patnaik2017,0.471,0.477,0.541,0.576,0.449
Qu2017,0.194,,,,0.250
Reis2020,0.441,0.910,0.918,,
Wozniak2015,0.541,0.533,0.421,,0.639
Yao2019,,,,,
Zaporozhchenko2018,0.388,0.359,0.256,0.324,0.224
mean,0.412,0.551,0.500,0.443,0.369
