,single
0,0.5
1,0.7017543859649122
2,0.46944444444444444
3,0.4944444444444444
4,0.19444444444444442
5,0.8333333333333334
6,0.4766062057025375
7,0.3758771573878699
8,0.5773026315789473
9,0.48026315789473684
10,0.9038461538461539
11,0.5833333333333333
12,0.6811145510835914
13,0.15170278637770898
14,0.3835616438356164
15,0.4345671815797144
16,0.6090225563909775
17,0.3402255639097745
18,0.49937343358395986
19,0.4655388471177945
20,0.25616921269095183
21,0.6286721504112809
22,0.34152693089430897
23,0.9023331639566395
24,0.481203007518797
25,0.4360902255639098
26,0.30808080808080807
27,0.2777777777777778
28,0.5398671096345515
29,0.5070975536091815
30,0.3346938775510204
31,0.616326530612245
32,0.6079000000000001
33,0.5735000000000001
34,0.41764705882352937
35,0.388235294117647
36,0.5263888888888889
37,0.4388888888888889
38,0.2777777777777778
39,0.22222222222222224
40,0.641362332954607
41,0.3889323973380945
42,0.399671052631579
43,0.5460526315789473
44,0.5608974358974359
45,0.3814102564102564
46,0.42724458204334365
47,0.44582043343653255
48,0.39449140192363746
49,0.4108131740017488
50,0.5766666666666667
51,0.34444444444444444
52,0.5206766917293233
53,0.4473684210526316
54,0.45551378446115287
55,0.5012531328320802
56,0.6692126909518213
57,0.3516451233842538
58,0.44444444444444453
59,0.22222222222222224
60,0.22745172764227642
61,0.8084032012195121
62,0.4586466165413534
63,0.5037593984962406
64,0.4090909090909091
65,0.6047979797979798
66,0.570522500755059
67,0.4180006040471157
68,0.4444444444444444
69,0.19444444444444442
70,0.9387755102040817
71,0.43673469387755104
72,0.4838
73,0.5038
74,0.5117647058823529
75,0.40588235294117647
76,0.3055555555555556
77,0.8611111111111112
78,0.6718288427203376
79,0.3616539522804739
80,0.44901315789473684
81,0.5789473684210527
82,0.8365384615384616
83,0.44551282051282043
84,0.4643962848297214
85,0.5851393188854489
86,0.24176624890702414
87,0.5102011075488195
88,0.7488888888888889
89,0.3
90,0.4511278195488722
91,0.43796992481203006
92,0.4536340852130326
93,0.525375939849624
94,0.6178025851938895
95,0.5492068155111633
96,0.6666666666666666
97,0.2777777777777778
98,0.2585535230352304
99,0.5282647357723577
100,0.3984962406015038
101,0.5977443609022557
102,0.49747474747474746
103,0.24368686868686867
104,0.5294472968891574
105,0.41505587435819996
106,0.861111111111111
107,0.19444444444444442
108,0.8775510204081632
109,0.7061224489795919
110,0.5247999999999999
111,0.5772999999999999
112,0.24000000000000002
113,0.2
114,0.3941176470588235
115,0.2647058823529411
116,0.5703639831196234
117,0.4750933290050316
118,0.618421052631579
119,0.47039473684210525
120,0.41025641025641024
121,0.47435897435897434
122,0.4798761609907121
123,0.12074303405572756
124,0.2634800349752259
125,0.44112503643252693
126,0.45666666666666667
127,0.7233333333333333
128,0.34304511278195493
129,0.3834586466165414
130,0.5623433583959899
131,0.47180451127819545
132,0.5646298472385429
133,0.6013513513513513
134,0.6111111111111112
135,0.6666666666666666
136,0.22031673441734417
137,0.5242843834688347
138,0.41353383458646614
139,0.7218045112781957
140,0.5833333333333334
141,0.26010101010101006
142,0.49320446994865597
143,0.49637571730594987
144,0.7777777777777777
145,0.5
146,0.4448979591836735
147,0.08571428571428572
148,0.5014
149,0.5779
150,0.07999999999999999
151,0.44
152,0.4411764705882353
153,0.5176470588235295
154,0.5904605263157894
155,0.6282894736842105
156,0.3685897435897436
157,0.4310897435897436
158,0.49226006191950467
159,0.6470588235294118
160,0.2967064995628097
161,0.5184348586417954
162,0.16666666666666666
163,0.37222222222222223
164,0.34398496240601506
165,0.5620300751879699
166,0.5175438596491228
167,0.5078320802005012
168,0.5951821386603995
169,0.32549941245593417
170,0.6111111111111112
171,0.8333333333333334
172,0.22031673441734417
173,0.28870257452574527
174,0.4210526315789474
175,0.27819548872180455
176,0.3383838383838384
177,0.5972222222222221
178,0.40320144971307764
179,0.5116279069767442
180,1.0
181,0.3333333333333333
182,0.526530612244898
183,0.463265306122449
184,0.5075999999999999
185,0.47375
186,0.36
187,0.36
188,0.47647058823529415
189,0.42647058823529416
190,0.4647435897435897
191,0.9070512820512819
192,0.39628482972136225
193,0.5851393188854489
194,0.2500728650539201
195,0.31084232002331685
196,0.47222222222222227
197,0.5933333333333334
198,0.34962406015037595
199,0.33458646616541354
200,0.48182957393483705
201,0.4630325814536341
202,0.44858989424206813
203,0.4764982373678026
204,0.27777777777777785
205,0.6666666666666667
206,0.2265625
207,0.4028836382113821
208,0.30827067669172936
209,0.5488721804511278
210,0.40404040404040403
211,0.5934343434343435
212,0.5280881908788886
213,0.5872848082150408
214,0.4722222222222222
215,0.75
216,0.636734693877551
217,0.8081632653061226
218,0.5394000000000001
219,0.43620000000000003
220,0.24
221,0.68
222,0.5176470588235295
223,0.6176470588235294
224,0.631578947368421
225,0.13931888544891644
226,0.365636840571262
227,0.20358496065287085
228,0.6944444444444444
229,0.6911111111111111
230,0.29887218045112784
231,0.32894736842105265
232,0.46240601503759404
233,0.44924812030075184
234,0.535840188014101
235,0.20769682726204464
236,0.6666666666666666
237,0.38888888888888895
