,AUC
0,0.9455128205128205
1,0.6635338345864661
2,0.5944272445820433
3,0.6048021745696164
4,0.46962337880136557
5,0.5995423340961099
6,0.4824561403508772
7,0.42638888888888893
8,0.5112781954887218
9,0.27647058823529413
10,0.5509868421052632
11,0.3910045717686523
12,0.5859
13,0.709753231492362
14,0.8611111111111112
15,0.7972894199941708
16,0.5448717948717948
17,0.693609022556391
18,0.7275541795665634
19,0.5413533834586466
20,0.44744583885998024
21,0.3929824561403509
22,0.4824561403508772
23,0.49583333333333335
24,0.5131578947368421
25,0.5667472062820901
26,0.5705882352941176
27,0.5213815789473684
28,0.4917579667802846
29,0.6044
30,0.27777777777777773
31,0.696881375692218
32,0.7801857585139319
33,0.5579885231048021
34,0.5305555555555556
35,0.3588235294117647
36,0.5892000000000001
37,0.27777777777777773
38,0.4217171717171717
39,0.41025641025641024
40,0.6766917293233083
41,0.24489795918367346
42,0.43471842540111433
43,0.3081617086193745
44,0.49122807017543857
45,0.47556390977443613
46,0.6233552631578947
47,0.4776328247578856
48,0.6111920722821335
49,0.4595959595959596
50,0.41346153846153844
51,0.6672932330827068
52,0.5488721804511278
53,0.5572334642102084
54,0.38454204180431983
55,0.31533180778032033
56,0.4736842105263158
57,0.5069444444444444
58,0.4893483709273183
59,0.6235294117647059
60,0.4724334523616296
61,0.5893
62,0.27777777777777773
63,0.6266394637132032
64,0.48717948717948717
65,0.6428571428571429
66,0.518796992481203
67,0.551344004832377
68,0.3975066466358699
69,0.34279176201373
70,0.49122807017543857
71,0.49444444444444446
72,0.49561403508771923
73,0.2897959183673469
74,0.5294117647058824
75,0.46379578531623655
76,0.6016
77,0.27777777777777773
78,0.6065287088312447
79,0.7430340557275541
80,0.6054062216852915
81,0.5529411764705883
82,0.5219
83,0.4166666666666667
84,0.45959595959595956
85,0.6923076923076923
86,0.6334586466165413
87,0.8122448979591836
88,0.46377744705853374
89,0.5478260869565217
90,0.47368421052631576
91,0.4674185463659148
92,0.675986842105263
93,0.4026037439809555
94,0.6971210340775559
95,0.6212474497231129
96,0.8142414860681114
97,0.5413533834586466
98,0.5498338870431894
99,0.37058823529411766
100,0.6040000000000001
101,0.27777777777777773
102,0.43434343434343436
103,0.4038461538461538
104,0.6766917293233082
105,0.29387755102040813
106,0.38747688190391083
107,0.29260106788710905
108,0.4736842105263158
109,0.5106516290726817
110,0.618421052631579
111,0.47839839311800036
112,0.6384436024482658
113,0.8301282051282052
114,0.6804511278195489
115,0.5264270613107822
116,0.5207435436449717
117,0.6475972540045767
118,0.543859649122807
