study,auc no threshold,auc threshold
Asakura2020,0.5638508034014826,0.7690837904178204
Boeri2011,0.2807017543859649,0.3157894736842105
Fehlmann2020,0.3862447448064308,0.42560734289196556
Halvorsen2016,0.4078947368421052,0.42434210526315785
Keller2009,0.5820433436532508,0.5479876160990712
Keller2014,0.33809385018944915,0.3313902652287962
Leidinger2011,0.3721804511278195,0.43421052631578944
Leidinger2014,0.3646616541353383,0.35714285714285715
Patnaik2012,0.41414141414141414,0.29292929292929293
Patnaik2017,0.4335548172757475,0.45832074901842346
Qu2017,0.6388888888888888,0.5833333333333334
Reis2020,0.9224489795918367,0.8979591836734693
Wozniak2015,0.5095999999999999,0.5302
mean,0.4780234952645944,0.48986896430755283
