,Asakura2020,Bianchi2011,Boeri2011,Chen2019,Duan2021,Fehlmann2020,Halvorsen2016,Jin2017,Keller2009,Keller2014,Keller2020,Kryczka2021,Leidinger2011,Leidinger2014,Leidinger2016,Li2017,Marzi2016,Nigita2018,Patnaik2012,Patnaik2017,Qu2017,Reis2020,Wozniak2015,Yao2019,Zaporozhchenko2018
Asakura2020,*,0.332163743,0.692982456,0.2875,0.666666667,0.65028313,0.738486842,0.314102564,0.408668731,0.715534829,0.356818182,*,0.368421053,0.546992481,0.547297297,0.666666667,0.78459519,0.466165414,0.560606061,0.518725461,1,0.844897959,0.4241,0.88,0.470588235
Bianchi2011,0.519204292,*,0.201754386,0.534722222,*,0.42977555,0.674342105,0.538461538,0.507739938,0.445059749,*,*,0.437969925,0.501253133,0.275558167,*,0.212927676,0.54887218,0.328282828,0.473119903,*,0.755102041,0.5114,0.4,*
Boeri2011,0.348262317,0.476203329,*,0.634722222,0.583333333,0.526914465,0.569901316,0.355769231,0.377708978,0.357184494,0.527272727,*,0.582706767,0.553884712,0.307285546,0.888888889,0.714557927,0.69924812,0.295454545,0.481878587,1,0.240816327,0.4886,0.56,0.517647059
Chen2019,0.273200776,0.527665317,0.526315789,*,0.222222222,0.361343344,0.203125,0.592948718,0.439628483,0.447974352,0.45,*,0.539473684,0.521929825,0.650411281,0.222222222,0.479463076,0.62406015,0.282828283,0.42615524,0.166666667,0.465306122,0.5868,0.64,0.758823529
Duan2021,0.785005811,*,0.48245614,0.648611111,*,0.494886885,0.640625,0.650641026,0.72755418,0.411104634,0.627272727,*,0.558270677,0.530075188,0.557285546,0.222222222,*,0.428571429,0.224747475,0.489731199,0.333333333,0.92244898,0.5723,0.72,0.370588235
Fehlmann2020,0.775326849,0.676833108,0.149122807,0.326388889,0.194444444,*,0.602796053,0.323717949,0.792569659,0.426843486,0.281818182,*,0.663533835,0.376566416,0.442420682,0.5,0.576918191,0.195488722,0.623737374,0.518725461,0.527777778,0.473469388,0.4484,0.56,0.6
Halvorsen2016,0.763019725,0.619973009,0.377192982,0.348611111,0.666666667,0.381313079,*,0.900641026,0.749226006,0.569367531,0.620454545,*,0.413533835,0.420426065,0.732373678,0.333333333,0.534108232,0.315789474,0.378787879,0.536846874,0.194444444,0.342857143,0.5643,0.24,0.535294118
Jin2017,0.604306445,0.524966262,0.403508772,0.477777778,0.888888889,0.434488106,0.700657895,*,0.628482972,0.571116293,0.778409091,*,0.573308271,0.55952381,0.71827262,0.5,0.335323509,0.413533835,0.131313131,0.464663244,0.222222222,0.502040816,0.5651,0.76,0.447058824
Keller2009,0.727630127,0.688529015,0.394736842,0.480555556,0.388888889,0.633649672,0.527138158,0.570512821,*,0.13450889,0.192045455,*,0.77443609,0.487468672,0.258225617,0.333333333,0.633532351,0.195488722,0.681818182,0.567653277,0.583333333,0.971428571,0.4619,0.6,0.682352941
Keller2014,0.741174956,0.371120108,0.350877193,0.363888889,0.305555556,0.345108733,0.896381579,0.496794872,0.055727554,*,0.838636364,*,0.135338346,0.518170426,0.718566392,0.555555556,0.416137364,0.751879699,0.199494949,0.469495621,0.638888889,0.102040816,0.5744,0.04,0.723529412
Keller2020,0.243935934,*,0.596491228,0.527777778,0.805555556,0.599901743,0.698190789,0.724358974,0.275541796,0.760711163,*,*,0.554511278,0.515037594,0.309048179,0.666666667,*,0.571428571,0.608585859,0.393083661,0.805555556,0.412244898,0.3973,0.36,0.323529412
Kryczka2021,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Leidinger2011,0.34975671,0.75888439,0.447368421,0.613888889,0.5,0.623360106,0.401315789,0.413461538,0.978328173,0.190906441,0.382954545,*,*,0.484962406,0.356345476,0.5,0.300347222,0.571428571,0.608585859,0.513440048,0.944444444,0.934693878,0.5041,0.72,0.641176471
Leidinger2014,0.312905263,0.463697706,0.728070175,0.559722222,0.805555556,0.589266396,0.490131579,0.426282051,0.535603715,0.398863305,0.743181818,*,0.392857143,*,0.433901293,0.611111111,0.785188008,0.308270677,0.54040404,0.54756871,0.444444444,0.804081633,0.5673,0.24,0.611764706
Leidinger2016,0.671298202,0.573549258,0.315789474,0.497222222,0.333333333,0.437228681,0.835526316,0.875,0.148606811,0.55464879,0.404545455,*,0.453007519,0.477443609,*,0.333333333,0.792280657,0.45112782,0.391414141,0.463908185,0.25,0.191836735,0.5051,0.2,0.605882353
Li2017,0.210387868,*,0.763157895,0.455555556,0.055555556,0.444989935,0.243421053,0.490384615,0.247678019,0.616292626,0.530681818,*,0.426691729,0.558897243,0.354876616,*,*,0.631578947,0.765151515,0.563877982,0.611111111,0.044897959,0.5313,0.48,*
Marzi2016,0.590383107,0.383985605,0.710526316,0.413888889,*,0.693249045,0.596217105,0.256410256,0.578947368,0.45904984,*,*,0.531954887,0.466165414,0.553760282,*,*,*,0.515151515,0.527031108,*,0.795918367,0.465,0.72,*
Nigita2018,0.365912111,0.729374719,0.701754386,0.586111111,0.583333333,0.460399463,0.166940789,0.46474359,0.244582043,0.560623725,0.573863636,*,0.603383459,0.494987469,0.382491187,0.611111111,*,*,0.517676768,0.414980368,0.555555556,0.053061224,0.4318,0.68,0.388235294
Patnaik2012,0.322222574,0.496626181,0.456140351,0.531944444,0.027777778,0.631753009,0.791118421,0.060897436,0.572755418,0.356747304,0.492045455,*,0.511278195,0.519423559,0.275558167,0.888888889,0.607829438,0.541353383,*,0.435366959,0.777777778,0.881632653,0.4033,0.12,0.270588235
Patnaik2017,0.816113357,0.728025191,0.552631579,0.256944444,0.833333333,0.672716131,0.537828947,0.355769231,0.613003096,0.284610901,0.380681818,*,0.511278195,0.558897243,0.579318449,0.722222222,0.345147358,0.458646617,0.381313131,*,0.638888889,0.759183673,0.4456,0.6,0.511764706
Qu2017,0.465776422,*,0.605263158,0.465277778,0,0.58946154,0.302631579,0.169871795,0.482972136,0.547070825,0.353409091,*,0.554511278,0.518796992,0.274676851,0.888888889,*,0.684210526,0.815656566,0.466173362,*,0.608163265,0.3597,0.68,*
Reis2020,0.83078316,0.440395861,0.438596491,0.413888889,0.888888889,0.542308588,0.397203947,0.352564103,0.851393189,0.363450889,0.203409091,*,0.703007519,0.518170426,0.579905993,0.166666667,0.818428184,0.308270677,0.353535354,0.443672606,0.5,*,0.5239,0.72,0.605882353
Wozniak2015,0.660347525,0.351147099,0.315789474,0.373611111,0.611111111,0.418777303,0.592927632,0.246794872,0.470588235,0.731419411,0.382954545,*,0.30075188,0.521929825,0.764982374,0.5,0.634696816,0.255639098,0.194444444,0.515705225,0.222222222,0.346938776,*,0.76,0.7
