,Asakura2020,Bianchi2011,Boeri2011,Chen2019,Duan2021,Fehlmann2020,Halvorsen2016,Jin2017,Keller2009,Keller2014,Keller2020,Kryczka2021,Leidinger2011,Leidinger2014,Leidinger2016,Li2017,Marzi2016,Nigita2018,Patnaik2012,Patnaik2017,Qu2017,Reis2020,Wozniak2015,Yao2019,Zaporozhchenko2018
Asakura2020,*,-0.1358223022852063,0.0929651636331199,0.03968491727467782,-0.08824554661639612,-0.12574010771822516,0.09256521412987126,-0.11879974104038671,-0.018683964691730993,0.19520921197364363,-0.121705996107404,*,-0.13111957940202362,-0.09408513823671995,0.12440741801505557,0.164592013801754,0.18276995606541963,0.09429042188988208,-0.07229893359639601,-0.012295989168281063,-0.09715508390190948,-0.09879543334300253,0.15471415953246437,0.009940456970425603,-0.012945158333189977
Bianchi2011,-0.1358223022852063,*,-0.2671923486590671,0.03137221256578442,*,0.24308678660219227,0.2160296833981689,0.24985433209142238,0.4239001838288267,-0.28102637789360174,*,*,0.35089286357378774,0.048314358774878274,-0.2842854879062122,*,-0.7184799563037368,0.3120207089402295,0.1413627861695019,0.09266583636535963,*,0.0034231552145155483,-0.4930739205459997,0.2515174976226946,*
Boeri2011,0.0929651636331199,-0.2671923486590671,*,0.31003991361571737,-0.0473536601612938,-0.05930620752127865,-0.06025479241127466,-0.006132964812339421,-0.18516568650931722,-0.013288358828002268,0.31446908386085215,*,-0.02625214775108292,0.09135053625661081,0.0011430554972569453,0.5117497756810326,0.25846889236637166,0.11796039680689771,-0.2737323078281657,0.0397393708951664,0.5623618171586368,0.049161978934359446,-0.04106578676533917,0.22155017696546964,0.1385000493967612
Chen2019,0.03968491727467782,0.03137221256578442,0.31003991361571737,*,0.11506404940884377,-0.35505890980866633,-0.24083018534171505,-0.07832869613440326,-0.22115229983217133,0.05434380217811304,0.18446192221220406,*,-0.0036153522219515245,0.056549812711492856,0.3716947426285632,0.0030468624973360803,-0.2060619081009276,0.03492862764217892,-0.1917278630268887,-0.005235841031007754,-0.17091285238069737,-0.11774251411538898,0.10771343693627644,0.20715967807731694,0.28225842585428434
Duan2021,-0.08824554661639612,*,-0.0473536601612938,0.11506404940884377,*,0.001632913760010169,0.16058314884780384,0.0037473925796244444,0.04550961893834523,-0.16910406172606382,0.20567191768435705,*,0.03139140805965466,0.004894630300163966,-0.1280207149951065,-0.17225050772181655,*,0.2564869639728011,-0.09577713367020578,-0.03965300505303814,-0.04130185904853151,0.11689890668630804,0.06837348396990306,0.1588935994594151,-0.43535402795876355
Fehlmann2020,-0.12574010771822516,0.24308678660219227,-0.05930620752127865,-0.35505890980866633,0.001632913760010169,*,-0.1799000407710878,0.0011805921640541653,0.24847498185562725,-0.36086471955531874,0.012066380309265923,*,0.25026147491590384,0.0784146410631387,-0.5602781397239233,-0.38665402914032493,0.3657941013489039,-0.13949848301389517,0.32720790491395263,0.09655226754995169,0.36164022589413347,0.3125864874613719,-0.19131364036522938,0.14361996443034436,-0.07234158642865236
Halvorsen2016,0.09256521412987126,0.2160296833981689,-0.06025479241127466,-0.24083018534171505,0.16058314884780384,-0.1799000407710878,*,0.12326818693552276,0.10116117744274768,0.11065638560362998,0.3524650193947687,*,-0.1427637668453627,-0.07387000998532764,0.24025641977283355,-0.04509071318008952,0.2876584426355161,-0.1797407245460717,-0.07914958409503102,0.05658742787973531,-0.3259710853393527,-0.08915611758343706,0.018201852693947997,-0.11393345072828494,-0.00964526365802381
Jin2017,-0.11879974104038671,0.24985433209142238,-0.006132964812339421,-0.07832869613440326,0.0037473925796244444,0.0011805921640541653,0.12326818693552276,*,0.0766310692300564,0.05180773570275081,0.4042080849933146,*,-0.03309660341437473,0.03061266590521368,0.0018906810187345972,0.03944509406223517,-0.24703410805851078,-0.018389511415115505,-0.1955661950919369,-0.0684792813880587,-0.11512675850986431,-0.13578496661331596,0.03278565335957481,0.08078135730450173,-0.22809340170757406
Keller2009,-0.018683964691730993,0.4239001838288267,-0.18516568650931722,-0.22115229983217133,0.04550961893834523,0.24847498185562725,0.10116117744274768,0.0766310692300564,*,-0.33365584988649905,-0.07485890157772955,*,0.30290088640969226,-0.0420578327638722,-0.5533217761068302,-0.16538884638565582,-0.07783819266697481,-0.09545457467578075,0.13649833519652402,0.12569844082275852,0.04683422835236656,0.09374322841342599,-0.09047366008141867,0.013499094452755756,0.05509945425408107
Keller2014,0.19520921197364363,-0.28102637789360174,-0.013288358828002268,0.05434380217811304,-0.16910406172606382,-0.36086471955531874,0.11065638560362998,0.05180773570275081,-0.33365584988649905,*,0.11220981509240764,*,-0.5653191230265185,0.03309690082498692,0.5314691515066912,0.1443751720131939,-0.039040306996121724,0.11737291944897345,-0.09363316355465078,-0.08227288530711677,-0.09634761244575255,0.016460191001580846,0.018747625969541704,-0.16864690213782738,0.03030667055393078
Keller2020,-0.121705996107404,*,0.31446908386085215,0.18446192221220406,0.20567191768435705,0.012066380309265923,0.3524650193947687,0.4042080849933146,-0.07485890157772955,0.11220981509240764,*,*,-0.00447551198716163,0.09670634655869983,-0.18520822251422078,-0.022015785541467485,*,-0.200974479866485,0.12666133508671382,-0.057000856374273774,-0.015357922303242788,0.19694147884776886,-0.16498286227750145,0.21326667104305352,-0.3326378667809151
Kryczka2021,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Leidinger2011,-0.13111957940202362,0.35089286357378774,-0.02625214775108292,-0.0036153522219515245,0.03139140805965466,0.25026147491590384,-0.1427637668453627,-0.03309660341437473,0.30290088640969226,-0.5653191230265185,-0.00447551198716163,*,*,-0.14039000311245722,-0.43883952893944994,-0.02664526062340331,-0.13530241986645264,-0.014655063141949419,0.016315963186881596,0.030949097177493654,0.191423036182439,-0.06781421950374952,0.04139288645685199,0.11021143828790184,-0.04763510734714917
Leidinger2014,-0.09408513823671995,0.048314358774878274,0.09135053625661081,0.056549812711492856,0.004894630300163966,0.0784146410631387,-0.07387000998532764,0.03061266590521368,-0.0420578327638722,0.03309690082498692,0.09670634655869983,*,-0.14039000311245722,*,0.38302649318350673,0.10531111530615749,-0.4714851865988047,-0.15113926014984808,-0.014261864060646154,0.02863332035931854,0.22786656019648294,0.05052390002817376,0.09902041303200754,-0.08763457536026902,0.3375289492582889
Leidinger2016,0.12440741801505557,-0.2842854879062122,0.0011430554972569453,0.3716947426285632,-0.1280207149951065,-0.5602781397239233,0.24025641977283355,0.0018906810187345972,-0.5533217761068302,0.5314691515066912,-0.18520822251422078,*,-0.43883952893944994,0.38302649318350673,*,0.3121567888022684,0.24658035920390542,0.12597888790643746,-0.4023763266537982,-0.1546670536526865,-0.017763673116356127,-0.39087935483502667,0.22724529120961237,-0.21177585604030394,0.18702565341836405
Li2017,0.164592013801754,*,0.5117497756810326,0.0030468624973360803,-0.17225050772181655,-0.38665402914032493,-0.04509071318008952,0.03944509406223517,-0.16538884638565582,0.1443751720131939,-0.022015785541467485,*,-0.02664526062340331,0.10531111530615749,0.3121567888022684,*,*,-0.14040681378868577,-0.09621816185878865,0.08664817150582453,-0.06101418286065868,-0.19685348564730015,0.2414605279378756,-0.00013867307527290137,*
Marzi2016,0.18276995606541963,-0.7184799563037368,0.25846889236637166,-0.2060619081009276,*,0.3657941013489039,0.2876584426355161,-0.24703410805851078,-0.07783819266697481,-0.039040306996121724,*,*,-0.13530241986645264,-0.4714851865988047,0.24658035920390542,*,*,*,0.18228712033796513,-0.21132369580965643,*,0.4288349711680842,0.019463604221790776,0.3277082636300641,*
Nigita2018,0.09429042188988208,0.3120207089402295,0.11796039680689771,0.03492862764217892,0.2564869639728011,-0.13949848301389517,-0.1797407245460717,-0.018389511415115505,-0.09545457467578075,0.11737291944897345,-0.200974479866485,*,-0.014655063141949419,-0.15113926014984808,0.12597888790643746,-0.14040681378868577,*,*,-0.03449981893427363,-0.19903416310677996,0.10753699848029274,-0.007871207445091611,-0.15709728529292796,0.08283759715683914,0.01940729953753655
Patnaik2012,-0.07229893359639601,0.1413627861695019,-0.2737323078281657,-0.1917278630268887,-0.09577713367020578,0.32720790491395263,-0.07914958409503102,-0.1955661950919369,0.13649833519652402,-0.09363316355465078,0.12666133508671382,*,0.016315963186881596,-0.014261864060646154,-0.4023763266537982,-0.09621816185878865,0.18228712033796513,-0.03449981893427363,*,-0.12759500075989136,0.5438656234533579,0.24485570435775528,-0.31838013833893253,-0.24376500142853272,-0.08930395838299622
Patnaik2017,-0.012295989168281063,0.09266583636535963,0.0397393708951664,-0.005235841031007754,-0.03965300505303814,0.09655226754995169,0.05658742787973531,-0.0684792813880587,0.12569844082275852,-0.08227288530711677,-0.057000856374273774,*,0.030949097177493654,0.02863332035931854,-0.1546670536526865,0.08664817150582453,-0.21132369580965643,-0.19903416310677996,-0.12759500075989136,*,-0.00533249214493677,-0.05612803222669562,0.020889258468080367,-0.09700024992333511,-0.07724781237347426
Qu2017,-0.09715508390190948,*,0.5623618171586368,-0.17091285238069737,-0.04130185904853151,0.36164022589413347,-0.3259710853393527,-0.11512675850986431,0.04683422835236656,-0.09634761244575255,-0.015357922303242788,*,0.191423036182439,0.22786656019648294,-0.017763673116356127,-0.06101418286065868,*,0.10753699848029274,0.5438656234533579,-0.00533249214493677,*,0.4381167576103519,-0.5147631222757606,0.22419040914018354,*
Reis2020,-0.09879543334300253,0.0034231552145155483,0.049161978934359446,-0.11774251411538898,0.11689890668630804,0.3125864874613719,-0.08915611758343706,-0.13578496661331596,0.09374322841342599,0.016460191001580846,0.19694147884776886,*,-0.06781421950374952,0.05052390002817376,-0.39087935483502667,-0.19685348564730015,0.4288349711680842,-0.007871207445091611,0.24485570435775528,-0.05612803222669562,0.4381167576103519,*,-0.3424298702586198,0.205771581911689,-0.18279425463995047
Wozniak2015,0.15471415953246437,-0.4930739205459997,-0.04106578676533917,0.10771343693627644,0.06837348396990306,-0.19131364036522938,0.018201852693947997,0.03278565335957481,-0.09047366008141867,0.018747625969541704,-0.16498286227750145,*,0.04139288645685199,0.09902041303200754,0.22724529120961237,0.2414605279378756,0.019463604221790776,-0.15709728529292796,-0.31838013833893253,0.020889258468080367,-0.5147631222757606,-0.3424298702586198,*,-0.057359290018332884,0.09293512747342035
Yao2019,0.009940456970425603,0.2515174976226946,0.22155017696546964,0.20715967807731694,0.1588935994594151,0.14361996443034436,-0.11393345072828494,0.08078135730450173,0.013499094452755756,-0.16864690213782738,0.21326667104305352,*,0.11021143828790184,-0.08763457536026902,-0.21177585604030394,-0.00013867307527290137,0.3277082636300641,0.08283759715683914,-0.24376500142853272,-0.09700024992333511,0.22419040914018354,0.205771581911689,-0.057359290018332884,*,-0.07950027557911776
Zaporozhchenko2018,-0.012945158333189977,*,0.1385000493967612,0.28225842585428434,-0.43535402795876355,-0.07234158642865236,-0.00964526365802381,-0.22809340170757406,0.05509945425408107,0.03030667055393078,-0.3326378667809151,*,-0.04763510734714917,0.3375289492582889,0.18702565341836405,*,*,0.01940729953753655,-0.08930395838299622,-0.07724781237347426,*,-0.18279425463995047,0.09293512747342035,-0.07950027557911776,*
