,auc
0,0.3321637426900585
1,0.6929824561403509
2,0.2875
3,0.6666666666666667
4,0.6502831299727483
5,0.7384868421052633
6,0.3141025641025641
7,0.4086687306501548
8,0.715680559603614
9,0.35681818181818187
10,0.368421052631579
11,0.5469924812030076
12,0.6018062397372742
13,0.5472972972972974
14,0.6666666666666666
15,0.784595189701897
16,0.4661654135338346
17,0.5606060606060607
18,0.5187254605859257
19,1.0
20,0.8448979591836736
21,0.42410000000000003
22,0.88
23,0.47058823529411764
24,0.5192042918444869
25,0.20175438596491227
26,0.5347222222222223
27,0.42977555016912483
28,0.6743421052631579
29,0.5384615384615384
30,0.5077399380804954
31,0.4450597493442145
32,0.4379699248120301
33,0.5012531328320802
34,0.13136288998357964
35,0.27555816686251466
36,0.21292767615176153
37,0.5488721804511278
38,0.3282828282828283
39,0.47311990335246146
40,0.7551020408163265
41,0.5114000000000001
42,0.4
43,0.34826231665312124
44,0.4762033288349078
45,0.6347222222222223
46,0.5833333333333333
47,0.5269144653054517
48,0.5699013157894737
49,0.35576923076923084
50,0.3777089783281734
51,0.35718449431652577
52,0.5272727272727273
53,0.5827067669172933
54,0.5538847117794486
55,0.6412151067323482
56,0.3072855464159812
57,0.888888888888889
58,0.7145579268292683
59,0.6992481203007519
60,0.29545454545454547
61,0.48187858652974935
62,1.0
63,0.24081632653061225
64,0.48860000000000003
65,0.5599999999999999
66,0.5176470588235293
67,0.27320077590018377
68,0.5276653171390014
69,0.5263157894736843
70,0.2222222222222222
71,0.36134334387795625
72,0.203125
73,0.592948717948718
74,0.4396284829721363
75,0.4479743515010201
76,0.45
77,0.5394736842105263
78,0.5219298245614035
79,0.6383415435139573
80,0.6504112808460634
81,0.2222222222222222
82,0.4794630758807588
83,0.6240601503759398
84,0.2828282828282829
85,0.42615524010872846
86,0.16666666666666666
87,0.4653061224489796
88,0.5868
89,0.64
90,0.7588235294117647
91,0.7850058110420353
92,0.4824561403508772
93,0.648611111111111
94,0.49488688495405564
95,0.640625
96,0.6506410256410255
97,0.7275541795665634
98,0.41110463421742927
99,0.6272727272727273
100,0.5582706766917295
101,0.5300751879699248
102,0.3793103448275862
103,0.5572855464159812
104,0.22222222222222224
105,0.4285714285714286
106,0.22474747474747472
107,0.4897311990335246
108,0.33333333333333337
109,0.9224489795918367
110,0.5722999999999999
111,0.7200000000000001
112,0.3705882352941176
113,0.7753227444537093
114,0.6768331084120558
115,0.14912280701754385
116,0.3263888888888889
117,0.19444444444444442
118,0.6027960526315789
119,0.3269230769230769
120,0.7925696594427245
121,0.4269892159720198
122,0.2818181818181818
123,0.6635338345864662
124,0.3765664160401002
125,0.2828407224958949
126,0.4424206815511164
127,0.5
128,0.5769181910569106
129,0.19548872180451127
130,0.6237373737373737
131,0.5187254605859256
132,0.5277777777777778
133,0.47346938775510206
134,0.44839999999999997
135,0.5599999999999999
136,0.6
137,0.7630197247055485
138,0.6199730094466936
139,0.3771929824561403
140,0.3486111111111111
141,0.6666666666666666
142,0.38131307944072423
143,0.9006410256410257
144,0.7492260061919505
145,0.5693675313319733
146,0.6204545454545454
147,0.4135338345864662
148,0.42042606516290726
149,0.31650246305418717
150,0.732373678025852
151,0.33333333333333337
152,0.534108231707317
153,0.3157894736842105
154,0.3787878787878788
155,0.5368468740561765
156,0.19444444444444442
157,0.34285714285714286
158,0.5643
159,0.24
160,0.5352941176470589
161,0.6043064453896916
162,0.524966261808367
163,0.4035087719298246
164,0.47777777777777775
165,0.888888888888889
166,0.4344881064869972
167,0.700657894736842
168,0.628482972136223
169,0.5711162926260566
170,0.778409090909091
171,0.5733082706766918
172,0.5595238095238095
173,0.26108374384236455
174,0.7182726204465335
175,0.5
176,0.3353235094850949
177,0.4135338345864662
178,0.13131313131313133
179,0.46466324373301116
180,0.2222222222222222
181,0.5020408163265306
182,0.5651
183,0.76
184,0.44705882352941173
185,0.7276301268812588
186,0.6885290148448042
187,0.39473684210526316
188,0.4805555555555555
189,0.3888888888888889
190,0.633649672021144
191,0.5271381578947368
192,0.5705128205128205
193,0.13450888953657825
194,0.19204545454545455
195,0.7744360902255639
196,0.48746867167919805
197,0.4318555008210181
198,0.2582256169212691
199,0.33333333333333337
200,0.6335323509485096
201,0.1954887218045113
202,0.6818181818181818
203,0.5676532769556026
204,0.5833333333333334
205,0.9714285714285714
206,0.4619
207,0.6
208,0.6823529411764706
209,0.7411749563438871
210,0.3711201079622132
211,0.3508771929824561
212,0.36388888888888893
213,0.3055555555555556
214,0.34510873286498767
215,0.8963815789473684
216,0.4967948717948718
217,0.05572755417956657
218,0.8386363636363636
219,0.1353383458646617
220,0.518170426065163
221,0.19745484400656815
222,0.718566392479436
223,0.5555555555555556
224,0.41613736449864497
225,0.7518796992481203
226,0.1994949494949495
227,0.4694956206584114
228,0.6388888888888888
229,0.10204081632653061
230,0.5744
231,0.039999999999999994
232,0.7235294117647059
233,0.24393593428772808
234,0.5964912280701754
235,0.5277777777777778
236,0.8055555555555556
237,0.5999017432863618
238,0.6981907894736843
239,0.7243589743589743
240,0.2755417956656347
241,0.7607111629262604
242,0.5545112781954887
243,0.5150375939849624
244,0.26888341543513955
245,0.30904817861339606
246,0.6666666666666667
247,0.5714285714285714
248,0.6085858585858587
249,0.39308366052552096
250,0.8055555555555555
251,0.4122448979591837
252,0.39730000000000004
253,0.36
254,0.3235294117647059
255,0.34975671025827765
256,0.7588843904633379
257,0.4473684210526316
258,0.6138888888888889
259,0.5
260,0.6233601057201155
261,0.4013157894736842
262,0.41346153846153844
263,0.978328173374613
264,0.19090644127076653
265,0.38295454545454544
266,0.4849624060150376
267,0.5024630541871921
268,0.3563454759106933
269,0.5
270,0.30034722222222227
271,0.5714285714285714
272,0.6085858585858586
273,0.5134400483237693
274,0.9444444444444444
275,0.9346938775510204
276,0.5041
277,0.72
278,0.6411764705882352
279,0.31290526300975624
280,0.46369770580296893
281,0.7280701754385964
282,0.5597222222222222
283,0.8055555555555556
284,0.58926639551922
285,0.49013157894736836
286,0.42628205128205127
287,0.5356037151702786
288,0.3988633051588458
289,0.7431818181818182
290,0.39285714285714285
291,0.4125615763546798
292,0.43390129259694477
293,0.6111111111111112
294,0.7851880081300813
295,0.30827067669172936
296,0.5404040404040404
297,0.547568710359408
298,0.4444444444444444
299,0.8040816326530613
300,0.5672999999999999
301,0.24
302,0.6117647058823529
303,0.27918626647292616
304,0.2614484930274404
305,0.35964912280701755
306,0.43472222222222223
307,0.13888888888888887
308,0.49688111964723447
309,0.34210526315789475
310,0.1185897435897436
311,0.4117647058823529
312,0.40294374817837364
313,0.6443181818181818
314,0.4887218045112781
315,0.5081453634085213
316,0.3528202115158637
317,0.8333333333333334
318,0.688770325203252
319,0.31578947368421056
320,0.3611111111111111
321,0.4980368468740562
322,0.7777777777777777
323,0.6285714285714286
324,0.41059999999999997
325,0.12
326,0.37058823529411766
327,0.6712982020366207
328,0.573549257759784
329,0.3157894736842105
330,0.49722222222222223
331,0.3333333333333333
332,0.4372286813743615
333,0.8355263157894737
334,0.875
335,0.14860681114551086
336,0.5546487904401048
337,0.40454545454545454
338,0.45300751879699247
339,0.4774436090225564
340,0.41625615763546797
