,Asakura2020,Bianchi2011,Boeri2011,Chen2019,Duan2021,Fehlman2020,Halvorsen2016,Jin2017,Keller2009,Keller2014,Keller2020,Kryczka2021,Leidinger2011,Leidinger2014,Leidinger2015,Leidinger2016,Li2017,Marzi2016,Nigita2018,Patnaik2012,Patnaik2017,Qu2017,Reis2020,Wozniak2015,Yao2020,Zaporozhchenko2018
Asakura2020,*,-0.06580001499841129,0.14410786212028726,0.11673643526475488,-0.1217964155046535,-0.19616711067719553,0.06242439457722623,-0.22293083640983485,-0.03718194091864228,-0.2703556635599034,-0.11514509862716336,*,-0.19030809151945127,-0.08891315235941943,-0.09690597521990006,0.18404940472614506,0.062443860954639975,-0.020898002344267995,0.11786111743241001,-0.07665809343144359,-0.030257677305386796,-0.13556807811720795,-0.08025897303087146,-0.052105244973154004,-0.008797626223451796,-0.17515128500928667
Bianchi2011,-0.06580001499841129,*,-0.32226261482220775,0.05409531429918509,*,0.16328269298178463,0.11820574848735294,0.3790163400565658,0.35931606322021814,0.20715285314764056,*,*,0.2556279004643185,0.1668911423097594,-0.3383428740862729,-0.17463488479448017,*,-0.6971344335010775,0.5012687292395556,0.1476520038393389,0.05880414805398372,*,0.08139369844684691,0.2892978182909107,0.21956426260943915,*
Boeri2011,0.14410786212028726,-0.32226261482220775,*,0.25181125012342304,-0.04276062259284382,-0.10075193009238186,-0.08771494255398404,0.036127774513962166,-0.19336906572485513,-0.06951964190323494,0.31603653793957215,*,0.08834127054276662,-0.04288477177586528,0.2022435893695319,0.053157377393845254,0.5675421100668353,0.26285601743549086,-0.02367547039184674,-0.27294332809308325,0.11299583931198381,0.43268687750062196,0.1384405345361293,0.007300633583643565,0.1181472681875581,-0.1985550473777236
Chen2019,0.11673643526475488,0.05409531429918509,0.25181125012342304,*,0.016743880780500778,-0.3157976682294718,-0.24453205717995316,-0.09137263807938009,-0.24043355056992408,-0.1640138951726011,0.027856472195722307,*,-0.07244660021135224,-0.006803097810400502,0.0879664543551404,0.246264686791079,-0.05004967599954554,-0.18836443950921683,0.1612136561929441,-0.27879358848866953,-0.13137214450451318,-0.010477612827551379,0.02184685537682378,-0.03309538799164795,0.2405011428752621,-0.21792314558690545
Duan2021,-0.1217964155046535,*,-0.04276062259284382,0.016743880780500778,*,-0.057228081437651734,0.06537966096833545,0.19517105263242768,-0.06779896387549078,0.10433979285698182,0.22149848889838558,*,0.06608093887330964,-0.05252040373811998,-0.08687812772348825,0.020091947025901204,-0.24570763790220265,*,0.12506117758303914,0.024093810703211302,-0.030910762871439505,-0.07112103300588044,0.10383052365780385,0.013804773688247188,0.20609661574932722,0.37567143903835554
Fehlman2020,-0.19616711067719553,0.16328269298178463,-0.10075193009238186,-0.3157976682294718,-0.057228081437651734,*,-0.13593684624150984,0.005432862514296009,0.26176176907631993,0.42185873750258934,0.05908135434809413,*,0.3794538988285636,-0.02389325909559813,0.1026333173069176,-0.7079054563267606,0.16972203951982714,0.398734507566091,-0.08872670473469567,0.4628596712644825,0.10719722370373022,0.4594179690377972,0.2661574441162282,0.13085950254185008,0.19381116853283412,-0.03249226085734847
Halvorsen2016,0.06242439457722623,0.11820574848735294,-0.08771494255398404,-0.24453205717995316,0.06537966096833545,-0.13593684624150984,*,0.07761826409042241,0.12536564518448423,-0.10470290305340973,0.2850936939331473,*,-0.02119118627773607,0.024442566456832467,-0.1634950991903974,0.26251752382080007,0.031856471391539264,0.26555455114481985,-0.2311946432133407,-0.07467058381458515,0.0702132993847593,-0.3622593783207917,-0.07728518650054188,-0.02857105631314384,-0.17107387437782748,-0.040930912560457756
Jin2017,-0.22293083640983485,0.3790163400565658,0.036127774513962166,-0.09137263807938009,0.19517105263242768,0.005432862514296009,0.07761826409042241,*,-0.011008709595558696,-0.02409226182742218,0.3982189475810991,*,0.0026572087519744205,-0.1003273839958393,-0.015377750542586268,0.0405302845114375,-0.11804900053398018,-0.3283649254618673,0.019211232338301673,-0.1736800323629959,-0.0461820475453289,-0.07449761099395183,0.022557621371082186,-0.011676369252871872,0.1763002782715918,0.1666499232917086
Keller2009,-0.03718194091864228,0.35931606322021814,-0.19336906572485513,-0.24043355056992408,-0.06779896387549078,0.26176176907631993,0.12536564518448423,-0.011008709595558696,*,0.2910256553057359,-0.09713311096005067,*,0.3433485963360827,0.03456631336288344,-0.019626287229337073,-0.29535142373235757,0.23421715028337023,-0.1039346726700188,-0.12140379522392482,0.19838445686638245,0.1865622598949774,0.21864414656189415,0.08156683779402114,0.09346013936665098,0.049214498264397395,-0.18901961452340882
Keller2014,-0.2703556635599034,0.20715285314764056,-0.06951964190323494,-0.1640138951726011,0.10433979285698182,0.42185873750258934,-0.10470290305340973,-0.02409226182742218,0.2910256553057359,*,-0.18559532256761688,*,0.5140862899714841,-0.01978788611782138,0.04431750571473167,-0.4358597091557017,0.2557391838858447,-0.02215280448705241,-0.10139616458829602,0.1551148122486965,0.1284079108312319,0.17590663349201296,-0.033265300330665305,0.002719047394295804,0.1555068653777898,-0.009891483916861808
Keller2020,-0.11514509862716336,*,0.31603653793957215,0.027856472195722307,0.22149848889838558,0.05908135434809413,0.2850936939331473,0.3982189475810991,-0.09713311096005067,-0.18559532256761688,*,*,-0.04409328244251462,-0.09096377910245615,-0.12348404582689523,-0.13109126486068345,-0.15448288197128454,*,-0.0326732704168068,-0.04032248389375556,0.006512940836125499,-0.05322054700454338,0.03862260288447701,0.10850323729652922,0.09631797684847442,0.15827405703969377
Kryczka2021,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Leidinger2011,-0.19030809151945127,0.2556279004643185,0.08834127054276662,-0.07244660021135224,0.06608093887330964,0.3794538988285636,-0.02119118627773607,0.0026572087519744205,0.3433485963360827,0.5140862899714841,-0.04409328244251462,*,*,-0.012697169369382559,0.025097388557623578,-0.5018934232503536,0.29844459870231727,0.1443153020324872,-0.04395205664817105,0.1281600174063837,0.12665126292055287,0.4418952884860015,0.052915539857723105,0.012085658869282378,0.08858234916186986,0.022153413320654847
Leidinger2014,-0.08891315235941943,0.1668911423097594,-0.04288477177586528,-0.006803097810400502,-0.05252040373811998,-0.02389325909559813,0.024442566456832467,-0.1003273839958393,0.03456631336288344,-0.01978788611782138,-0.09096377910245615,*,-0.012697169369382559,*,0.026038210696167408,0.3755482330261004,0.1538396373748917,-0.6157062215741419,-0.1805795706429481,0.057416003069917045,0.05526106550901413,0.06317414745856458,-0.047185369163661346,-0.01634520311247394,-0.24099249863741368,-0.25982225362866607
Leidinger2015,-0.09690597521990006,-0.3383428740862729,0.2022435893695319,0.0879664543551404,-0.08687812772348825,0.1026333173069176,-0.1634950991903974,-0.015377750542586268,-0.019626287229337073,0.04431750571473167,-0.12348404582689523,*,0.025097388557623578,0.026038210696167408,*,-0.2143338498432713,0.28469834513641173,0.6559546036601095,0.05907505736525491,0.010571191241197996,0.018064535530679143,0.31857521688455315,0.21594088264880643,0.11380261995242391,0.0981496236027581,0.03638749058966476
