,PCA1,PCA2,Type
0,9.569099936313254,-5.311174950713764,Control
1,14.993405508742072,0.2050714339783889,Control
2,10.055267353313752,-6.8354150149533695,Control
3,10.202512587862001,-3.297722596535813,Control
4,15.099441895937117,2.1446293671086387,Control
5,17.158475006445066,1.61597290739792,Control
6,13.880443257257715,-0.49134175765860755,Control
7,-4.545744791816481,4.447434862129431,Control
8,-2.8501986506190757,3.2672760343525593,Control
9,-3.8470107814406647,11.5138171421872,Control
10,-6.492151658149428,9.390287588128027,Control
11,-5.6911934952742556,4.971018889633959,Control
12,-5.623308657285335,-0.7581356451566631,Cancer
13,-5.9509860468998275,-4.110426011030059,Cancer
14,-5.454587289835826,-3.056284382305961,Cancer
15,-3.9548493771966937,4.567896716765565,Cancer
16,-6.1217952212639295,-4.955722336593164,Cancer
17,-6.468076704060307,-4.7093558607487385,Cancer
18,-5.890333541841865,-5.6281625795578805,Cancer
19,-5.84994033537484,-5.610483021741247,Cancer
20,-5.8117204006288645,-5.600930541071304,Cancer
21,-5.573081644720881,-4.035269665855685,Cancer
22,-4.777960764481717,-2.1757180744008084,Cancer
23,-5.759228696793892,-4.991528838827416,Cancer
24,-5.28108646454963,-4.626074584110398,Cancer
25,-2.638565365769845,0.30450629409278074,Cancer
26,2.5939568016298904,13.02377843752497,Cancer
27,-2.394666573446652,8.010572515295049,Cancer
28,3.1300507212963598,-1.9728733019230744,Cancer
29,-1.2101832817507672,10.854982600908118,Cancer
30,0.6454461819912156,0.9022205490130241,Cancer
31,-2.3011079391631313,-1.693618990582385,Cancer
32,2.0052732972168528,0.5851233356560497,Cancer
33,-2.258324743676459,-0.4491124126787295,Cancer
34,1.903883050713166,-0.8909163285482555,Cancer
35,3.41854621823169,-2.660497559093971,Cancer
36,-0.21098697686623977,-0.5215049369676286,Cancer
37,2.301287585956438,-1.422319283116759,Cancer
